,73680,95
,383266,759
,18203865,25474
,5907674,8840
,914846,967
,21353,44
,4316244,5967
,28133,29
,33076650,47401
,1127607,1895
,268844,311
,251444310,383296
,6226339,10562
,452412,1088
,877704,1212
,43830533,77364
,28734193,39021
,257866,54
,4468,11
,444698,644
,1968289,2447
,1180504,1522
,58332,93
,257203,339
,5041055,7371
,363544,601
,99190540,167287
,233966,310
,41972,104
,1506506,1801
,3139,4
,88151971,56576
,52967,111
,21845,7
,465636,890
,27736,11
,42753871,42305
,982,2
,3580626,4769
,2454897,3563
,793253,1435
,100410573,138442
,21142100,17698
,132775,222
,230837,352
,328494217,430421
,29292384,46671
,585714167,912059
,19697020,28244
,337671,518
,3099,8
,6678383515,9598439
,69295,21
,760751432,1100982
,814269,883
,186351667,275636
,753742,1247
,599167,859
,113037,174
,210517,537
,132624,147
,146817,173
,2218378,3090
,42190,71
,86875,68
,7620740,10502
,147563,333
,13776723,21820
,1625525,1952
,67588,106
,4827239,6610
,3343381,4761
,1607229,2273
,101590,121
,325062,421
,4084178,5944
,20860468,29552
,106766,186
,47908178,74053
,2633,10
,5822896,7690
,5033640,8303
,6202,9
,45513,101
,84641,153
,30976,70
,12607544,12960
,227678,488
,122209,148
,86878,125
,3737555,4392
,10680781,7960
,982176,1499
,65390,110
,124831,93
,5200,7
,30187,62
,14006,21
,53847,70
,1091602,1364
,13084797,18342
,283348,379
,35202,55
,265,1
,116305963,165221
,4541,4
,15386799,22789
,1852655,4401
,103126,251
,261,1
,28626809,38158
,4337267,5086
,17572,25
,67443186,86148
,8636443,11658
,94477,55
,52957,61
,10311612,20243
,9972855,11653
,95511817,171795
,530,2
,260016,377
,2801644,3766
,943701,1293
,1312321,3038
,121806050,217248
,306074,431
,58642,90
,262,1
,2146643,2691
,302034032,361816
,24910,44
,2139260,2985
,2346503,3352
,1773937,2685
,32610,26
,6895806,7197
,7097,13
,74062056,100418
,1931434,2462
,47695,34
,39468941,86707
,4752,8
,3570166,4672
,1150669,1691
,157194,209
,462104,649
,168809,28
,21776312,25070
,491482,640
,137638,31
,184562270,238591
,1088597,1407
,114183459,133391
,2226665,2615
,8442030,15465
,4837769,7782
,17324162,20620
,12101403,12546
,1130804,1684
,10692984,15203
,1538818,2083
,19514,31
,157185,256
,207213989,433026
,2537969,3397
,17826281,34093
,2003387,2566
,16649,28
,200748,261
,29065,60
,337743,506
,3630,12
,20869,52
